Date,Country,Population,Total Tests,Total Cases,Total Deaths,Total Recovered,Serious or Critical,Active Cases
2020-04-18,USA,330774664,3722145,738792,39014,68269,13551,631509
2020-04-18,Russia,145927292,1831892,36793,313,3057,8,33423
2020-04-18,Spain,46752703,930230,194416,20043,74797,7371,99576
2020-04-18,Brazil,212380932,62985,36722,2361,14026,6634,20335
2020-04-18,UK,67844241,460437,114217,15464,,1559,98409
2020-04-18,Italy,60471924,1305833,175925,23227,44927,2733,107771
2020-04-18,France,65256826,463662,151793,19323,35983,5833,96487
2020-04-18,Germany,83752855,1728357,143724,4538,85400,2922,53786
2020-04-18,Turkey,84230075,598933,82329,1890,10453,1894,69986
2020-04-18,Iran,83862642,330137,80868,5031,55987,3513,19850
2020-04-18,India,1378381772,335123,16365,521,2463,,13381
2020-04-18,Peru,32915899,135895,14420,348,6684,117,7388
2020-04-18,China,1439323776,,82719,4632,77029,85,1058
2020-04-18,Canada,37702769,516216,33383,1470,11207,557,20706
2020-04-18,Saudi Arabia,34747330,150000,8274,92,1329,78,6853
2020-04-18,Belgium,11583739,145997,37183,5453,8348,1119,23382
2020-04-18,Mexico,128770253,48365,6875,546,2125,207,4204
2020-04-18,Chile,19096687,108891,9730,126,4035,360,5569
2020-04-18,Netherlands,17130492,154911,31589,3601,,1279,27738
2020-04-18,Pakistan,220356788,92548,7638,143,1832,46,5663
2020-04-18,Qatar,2875047,60139,5008,8,510,37,4490
2020-04-18,Ecuador,17610231,30922,9022,456,1008,168,7558
2020-04-18,Switzerland,8647139,216400,27404,1368,17100,386,8936
2020-04-18,Belarus,9449678,86813,4779,45,342,65,4392
2020-04-18,Sweden,10091856,74600,13822,1511,550,1054,11761
2020-04-18,Portugal,10200063,235878,19685,687,610,228,18388
2020-04-18,Singapore,5844888,94796,5992,11,740,23,5241
2020-04-18,Ireland,4931150,90646,14758,571,77,294,14110
2020-04-18,UAE,9875965,767000,6302,37,1188,1,5077
2020-04-18,Bangladesh,164493041,21307,2144,84,66,1,1994
2020-04-18,Poland,37851327,192960,8742,347,981,160,7414
2020-04-18,Ukraine,43762985,52534,5106,133,275,45,4698
2020-04-18,Indonesia,273176544,39422,6248,535,631,,5082
2020-04-18,Romania,19251921,90991,8418,421,1730,248,6267
2020-04-18,Israel,8638917,187250,13265,164,3456,164,9645
2020-04-18,South Africa,59218133,108021,3034,52,903,36,2079
2020-04-18,Japan,126520115,111325,10296,222,1069,221,9005
2020-04-18,Colombia,50817787,59002,3621,166,691,98,2764
2020-04-18,Austria,9000366,175932,14671,443,10214,208,4014
2020-04-18,Kuwait,4262847,,1751,6,280,34,1465
2020-04-18,Egypt,102094004,55000,3032,224,701,,2107
2020-04-18,Dominican Republic,10834889,14373,4335,217,312,146,3806
2020-04-18,Philippines,109403890,56048,6087,397,516,1,5174
2020-04-18,S. Korea,51264120,546463,10653,232,7937,55,2484
2020-04-18,Denmark,5789832,91437,7242,346,3847,76,3049
2020-04-18,Serbia,8741321,36028,5994,117,637,126,5240
2020-04-18,Panama,4306425,18559,4210,116,122,96,3972
2020-04-18,Czechia,10706690,162533,6606,181,1227,86,5198
2020-04-18,Argentina,45146322,30942,2839,132,685,127,2022
2020-04-18,Norway,5416217,139668,7036,164,32,63,6840
2020-04-18,Algeria,43752773,3359,2534,367,894,60,1273
2020-04-18,Bahrain,1693667,82568,1773,7,755,3,1011
2020-04-18,Afghanistan,38817349,,933,30,112,,791
2020-04-18,Australia,25464216,406510,6586,70,4167,55,2349
2020-04-18,Morocco,36857758,13689,2685,137,314,1,2234
2020-04-18,Malaysia,32315733,100794,5305,88,3102,49,2115
2020-04-18,Kazakhstan,18749587,100878,1615,17,377,22,1221
